INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 34
INFO:root:Starting generation: 35
INFO:root:partial fitness = 3.667501
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667501
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
